Major,Total - Bachelor,Total Males - Bachelor,Total Females - Bachelor,Total - Master,Total Males - Master,Total Females - Masters,Total Phd,Total Males - Phd,Total Females - Phd
  Cardiovascular science ......................................................................,0,0,0,17,13,4,10,4,6
  Exercise physiology .........................................................................,1831,886,945,207,108,99,47,26,21
  Vision science/physiological optics ............................................................,70,21,49,18,8,10,21,13,8
  Pathology/experimental pathology ............................................................,22,6,16,89,33,56,182,73,109
  Oncology and cancer biology .................................................................,0,0,0,32,15,17,108,42,66
"  Physiology, pathology, and related sciences, other ..........................................",0,0,0,15,10,5,32,16,16
  Pharmacology ................................................................................,34,19,15,118,51,67,243,110,133
  Molecular pharmacology ......................................................................,0,0,0,8,2,6,41,15,26
  Neuropharmacology ..................................................................................,0,0,0,13,5,8,0,0,0
  Toxicology ..................................................................................,96,36,60,45,14,31,73,41,32
  Molecular toxicology ........................................................................,0,0,0,0,0,0,3,1,2
  Environmental toxicology ....................................................................,39,13,26,34,13,21,32,15,17
  Pharmacology and toxicology .................................................................,87,40,47,54,18,36,52,20,32
  Biometry/biometrics .........................................................................,24,13,11,19,15,4,13,8,5
  Biostatistics ...............................................................................,27,13,14,384,156,228,173,81,92
  Bioinformatics ..............................................................................,118,83,35,308,176,132,88,58,30
  Computational biology ............................................................................,18,14,4,9,8,1,16,10,6
"  Biomathematics, bioinformatics, and computational biology, other ....................................................",12,6,6,18,9,9,5,3,2
  Biotechnology ...............................................................................,687,340,347,1155,520,635,12,7,5
  Ecology .....................................................................................,668,308,360,189,90,99,174,82,92
  Marine biology and biological oceanography ..................................................,1091,376,715,178,64,114,71,30,41
  Evolutionary biology ........................................................................,36,10,26,10,4,6,32,16,16
  Aquatic biology/limnology ...................................................................,78,48,30,5,0,5,0,0,0
  Environmental biology .......................................................................,196,87,109,52,21,31,5,3,2
  Population biology ..........................................................................,0,0,0,12,7,5,9,3,6
  Conservation biology ........................................................................,153,60,93,61,25,36,14,7,7
  Systematic biology/biological systematics ......................................................,0,0,0,0,0,0,2,2,0
  Epidemiology ................................................................................,1,0,1,881,272,609,268,80,188
  Ecology and evolutionary biology ......................................................,301,120,181,33,13,20,65,26,39
"  Ecology, evolution, systematics and population biology, other ...............................",131,58,73,21,7,14,27,15,12
  Molecular medicine ............................................................................,0,0,0,8,4,4,44,21,23
  Neuroscience .....................................................................,3062,1214,1848,133,59,74,584,265,319
  Neuroanatomy .....................................................................,0,0,0,0,0,0,0,0,0
  Neurobiology and anatomy ............................................................................,647,274,373,19,10,9,102,45,57
  Neurobiology and behavior ............................................................................,70,31,39,32,19,13,17,10,7
"  Neurobiology and neurosciences, other ......................................................",1,0,1,0,0,0,0,0,0
"  Biological and biomedical sciences, other ...................................................",1112,434,678,968,479,489,216,104,112
, ,,, ,,, ,,
"Business, management, marketing, and personal and culinary services .................................",366815,190082,176733,191571,103253,88318,2531,1460,1071
"  Business, management, marketing, and related support services .................................",365490,189486,176004,191531,103245,88286,2531,1460,1071
"    Business/commerce, general ..................................................................",25584,13832,11752,11686,7124,4562,336,179,157
"    Business administration and management, general .............................................",138910,71480,67430,115528,64574,50954,1264,792,472
"    Purchasing, procurement/acquisitions and contracts management ...............................",508,284,224,527,289,238,0,0,0
    Logistics and materials management ..........................................................,2230,1601,629,536,365,171,1,1,0
    Office management and supervision ...........................................................,423,195,228,372,127,245,0,0,0
    Operations management and supervision .......................................................,3499,2139,1360,825,498,327,17,15,2
    Nonprofit/public/organizational management .......................................................................,530,201,329,1982,597,1385,14,0,14
    Customer service management .................................................................,24,11,13,2,0,2,0,0,0
    E-commerce/electronic commerce ..............................................................,278,156,122,208,111,97,1,0,1
    Transportation/transportation management ....................................................,159,116,43,46,35,11,4,3,1
    Research and development management ..................................................,0,0,0,24,10,14,0,0,0
    Project management ............................................................................,144,91,53,723,430,293,3,1,2
    Retail management ............................................................................,208,36,172,0,0,0,0,0,0
    Organizational leadership ......................................................,1264,597,667,1597,680,917,204,91,113
"    Business administration, management and operations, other ...................................",11878,6020,5858,5404,2891,2513,39,18,21
    Accounting ..................................................................................,49598,23821,25777,16559,7780,8779,39,17,22
    Accounting technology/technician and bookkeeping ............................................,140,80,60,0,0,0,0,0,0
    Auditing ......................................................................,30,10,20,27,13,14,0,0,0
    Accounting and finance ......................................................................,546,283,263,1532,533,999,0,0,0
    Accounting and business/management ..........................................................,3665,937,2728,295,122,173,0,0,0
"    Accounting and related services, other ......................................................",225,101,124,357,218,139,3,3,0
"    Administrative assistant and secretarial science, general ...................................",39,19,20,0,0,0,0,0,0
    Business/office automation/technology/data entry ............................................,83,49,34,0,0,0,0,0,0
    General office occupations and clerical services .........................................,10,2,8,0,0,0,0,0,0
"    Parts, warehousing, and inventory management operations .......................................",0,0,0,5,4,1,0,0,0
"    Business operations support and secretarial services, other .................................",0,0,0,71,22,49,0,0,0
    Business/corporate communications ...........................................................,613,223,390,215,57,158,0,0,0
    Business/managerial economics ...............................................................,5255,3568,1687,301,154,147,63,42,21
    Entrepreneurship/entrepreneurial studies ....................................................,2222,1464,758,771,462,309,2,2,0
    Small business administration/management ....................................................,63,41,22,19,9,10,0,0,0
"    Entrepreneurial and small business operations, other ........................................",33,20,13,54,34,20,1,1,0
"    Finance, general ............................................................................",31259,21537,9722,6058,3859,2199,51,40,11
    Banking and financial support services ......................................................,417,258,159,126,58,68,5,4,1
    Financial planning and services .............................................................,208,133,75,251,135,116,4,4,0
    International finance .......................................................................,7,5,2,28,15,13,0,0,0
    Investments and securities ..................................................................,118,96,22,194,139,55,0,0,0
    Public finance ..............................................................................,11,11,0,0,0,0,0,0,0
"    Finance and financial management services, other ............................................",223,140,83,195,120,75,0,0,0
"    Hospitality administration/management, general ..............................................",7240,2366,4874,430,147,283,26,13,13
    Tourism and travel services management ......................................................,620,210,410,172,77,95,0,0,0
    Hotel/motel administration/management .......................................................,2012,754,1258,108,48,60,11,2,9
    Restaurant/food services management .........................................................,716,337,379,0,0,0,0,0,0
    Resort management ...........................................................................,172,79,93,0,0,0,0,0,0
    Meeting and event planning ......................................................,327,36,291,0,0,0,0,0,0
    Casino management ............................................................................,2,2,0,0,0,0,0,0,0
"    Hotel, motel, and restaurant management ......................................................",126,33,93,0,0,0,0,0,0
"    Hospitality administration/management, other ................................................",530,232,298,127,40,87,4,3,1
"    Human resources management/personnel administration, general ................................",6285,1822,4463,3804,958,2846,33,10,23
    Labor and industrial relations ..............................................................,823,414,409,713,264,449,8,6,2
    Organizational behavior studies .............................................................,2892,1297,1595,2304,799,1505,151,61,90
    Labor studies ...............................................................................,84,54,30,22,9,13,1,0,1
    Human resources development .................................................................,601,185,416,1009,269,740,26,10,16
"    Human resources management and services, other ..............................................",415,187,228,1493,567,926,19,12,7
    International business/trade/commerce .......................................................,5860,2868,2992,2838,1692,1146,22,13,9
"    Management information systems, general .....................................................",7102,5358,1744,3288,2236,1052,64,43,21
    Information resources management/CIO training ...............................................,180,146,34,440,330,110,20,13,7
    Knowledge management ........................................................................,22,17,5,60,41,19,0,0,0
"    Management information systems and services, other ..........................................",171,106,65,130,79,51,0,0,0
"    Management science, general .................................................................",3029,1787,1242,903,479,424,7,7,0
    Business statistics .........................................................................,32,22,10,58,29,29,0,0,0
    Actuarial science ...........................................................................,913,520,393,355,233,122,0,0,0
"    Management sciences and quantitative methods, other .........................................",230,156,74,145,98,47,8,6,2
"    Marketing/marketing management, general .....................................................",30701,14250,16451,1843,731,1112,30,18,12
    Marketing research ..........................................................................,51,25,26,107,48,59,2,0,2
    International marketing .....................................................................,130,14,116,102,43,59,2,1,1
"    Marketing, other ............................................................................",1068,496,572,159,66,93,6,4,2
    Real estate .................................................................................,582,425,157,733,571,162,3,2,1
    Taxation ....................................................................................,0,0,0,1809,924,885,0,0,0
    Insurance ...................................................................................,737,479,258,110,59,51,1,0,1
"    Sales, distribution, and marketing operations, general ......................................",1106,553,553,194,77,117,3,1,2
    Merchandising and buying operations .........................................................,42,11,31,27,1,26,0,0,0
    Retailing and retail operations .............................................................,224,61,163,4,1,3,0,0,0
    Selling skills and sales operations .........................................................,399,242,157,0,0,0,0,0,0
"    General merchandising/sales/related marketing operations, other .......................",90,40,50,0,0,0,0,0,0
    Fashion merchandising .......................................................................,2511,103,2408,6,2,4,0,0,0
    Apparel and accessories marketing operations ................................................,851,64,787,8,0,8,0,0,0
    Tourism and travel services marketing operations ............................................,23,8,15,0,0,0,0,0,0
    Tourism promotion operations ................................................................,95,24,71,0,0,0,0,0,0
    Vehicle and vehicle parts and accessories marketing operations ..............................,84,72,12,0,0,0,0,0,0
    Special products marketing operations .......................................................,154,60,94,13,10,3,0,0,0
    Hospitality and recreation marketing operations .............................................,42,35,7,0,0,0,0,0,0
"    Specialized merchandising/sales/related marketing operations, other ...................",99,27,72,36,10,26,0,0,0
    Construction management .....................................................................,2608,2352,256,275,214,61,3,3,0
    Telecommunications management ......................................................,1,0,1,3,2,1,0,0,0
"    Business/management/marketing/related support services, other ........................",3104,1600,1504,1185,626,559,30,19,11
, , , , , , , , , 
  Personal and culinary services .............................................................,1325,596,729,40,8,32,0,0,0
"    Funeral service and mortuary science, general ...............................................",133,48,85,0,0,0,0,0,0
    Funeral direction/service ...............................................................,27,13,14,0,0,0,0,0,0
"    Cosmetology/cosmetologist, general......................................................",1,0,1,0,0,0,0,0,0
"    Cooking and related culinary arts, general .........................................",0,0,0,0,0,0,0,0,0
    Baking and pastry arts/baker/pastry chef ....................................................,51,4,47,0,0,0,0,0,0
    Culinary arts/chef training .................................................................,431,206,225,0,0,0,0,0,0
"    Restaurant, culinary, and catering management/manager .......................................",604,293,311,0,0,0,0,0,0
"    Food service, waiter/waitress, and dining room management ...............................",0,0,0,0,0,0,0,0,0
    Culinary science/culinology ......................................................,23,9,14,0,0,0,0,0,0
"    Culinary arts and related services, other ...................................................",52,22,30,40,8,32,0,0,0
"    Personal and culinary services, other .............................................................",3,1,2,0,0,0,0,0,0
, ,,, ,,, ,,
Communication and communications technologies .............................................,88752,33525,55227,9496,3065,6431,567,242,325
"  Communication, journalism, and related programs .............................................",83770,29921,53849,9005,2760,6245,563,239,324
"    Communication, general ............................................................................",6715,2123,4592,490,142,348,70,30,40
    Speech communication and rhetoric ......................................................,30766,10911,19855,2165,668,1497,240,91,149
    Mass communication/media studies ............................................................,9064,3318,5746,1110,374,736,116,49,67
"    Communication and media studies, other ......................................................",1801,550,1251,644,190,454,44,22,22
    Journalism ..................................................................................,12249,4082,8167,1706,586,1120,16,9,7
    Broadcast journalism ........................................................................,1082,460,622,82,24,58,0,0,0
    Photojournalism .............................................................................,170,59,111,9,2,7,0,0,0
"    Journalism, other ...........................................................................",685,213,472,194,53,141,0,0,0
    Radio and television ........................................................................,5034,2857,2177,210,95,115,13,8,5
    Digital communication and media/multimedia ..................................................,1596,933,663,296,163,133,11,8,3
"    Radio, television, and digital communication, other .........................................",785,408,377,16,5,11,0,0,0
"    Public relations, advertising, and applied communication ......................................................",1050,269,781,14,5,9,0,0,0
"    Organizational communication, general .......................................................",1036,343,693,157,40,117,4,2,2
    Public relations/image management ...........................................................,4121,885,3236,508,85,423,0,0,0
    Advertising .................................................................................,4728,1436,3292,344,100,244,8,4,4
    Political communication .....................................................................,76,32,44,0,0,0,0,0,0
    Health communication ........................................................................,59,16,43,132,19,113,10,1,9
    Sports communication ............................................................................,38,29,9,20,14,6,0,0,0
    International and intercultural communication......................................................,26,7,19,46,8,38,0,0,0
    Technical and scientific communication......................................................,28,9,19,25,9,16,7,3,4
"    Public relations, advertising and applied communication, other ..............................",964,249,715,152,31,121,0,0,0
    Publishing .....................................................................,2,1,1,172,28,144,0,0,0
"    Communication, journalism, and related programs, other ......................................",1695,731,964,513,119,394,24,12,12
, , , , ,,, ,,
  Communications technologies/technicians and support services ................................,4982,3604,1378,491,305,186,4,3,1
    Communications technology/technician ........................................................,111,81,30,31,9,22,4,3,1
    Photographic and film/video technology/technician and assistant .............................,81,51,30,0,0,0,0,0,0
    Radio and television broadcasting technology/technician .....................................,553,329,224,94,35,59,0,0,0
    Recording arts technology/technician ........................................................,1281,1157,124,25,19,6,0,0,0
"    Audiovisual communications technologies/technicians, other ..................................",122,89,33,0,0,0,0,0,0
"    Graphic communications, general .............................................................",255,101,154,0,0,0,0,0,0
    Printing management .........................................................................,54,24,30,3,1,2,0,0,0
    Prepress/desktop publishing and digital imaging design .........................................................................,105,39,66,0,0,0,0,0,0
    Animation/interactive technology/video graphics/special effects .......................,2158,1600,558,272,197,75,0,0,0
"    Graphic and printing equipment operator, general production .................................",62,33,29,0,0,0,0,0,0
    Printing press operator .....................................................................,25,18,7,0,0,0,0,0,0
"    Graphic communications, other ...............................................................",27,17,10,8,4,4,0,0,0
"    Communications technologies/technicians and support services, other .........................",148,65,83,58,40,18,0,0,0
, ,,, ,,, ,,
Computer and information sciences and support services .............................................,47384,38773,8611,20917,15129,5788,1698,1332,366
"  Computer and information sciences, general ..................................................",10779,9143,1636,4824,3665,1159,619,502,117
  Artificial intelligence and robotics ........................................................,0,0,0,72,58,14,24,21,3
  Information technology ......................................................................,5895,4727,1168,2468,1745,723,68,48,20
  Informatics .....................................................................,212,170,42,248,83,165,0,0,0
"  Computer and information sciences, other ....................................................",147,116,31,85,71,14,1,0,1
"  Computer programming/programmer, general ....................................................",1293,1080,213,59,45,14,9,8,1
"  Computer programming, specific applications .................................................",137,123,14,12,9,3,0,0,0
"  Computer programming, other ..............................................................................................",0,0,0,0,0,0,0,0,0
  Data processing and data processing technology/technician ...................................,104,82,22,0,0,0,0,0,0
  Information science/studies .................................................................,5711,4378,1333,3873,2538,1335,153,79,74
  Computer systems analysis/analyst ...........................................................,1459,1127,332,242,176,66,0,0,0
  Computer science ............................................................................,9804,8525,1279,6164,4654,1510,780,642,138
"  Web page, digital/multimedia and information resources design ...............................",1587,956,631,219,107,112,0,0,0
  Data modeling/warehousing and database administration .......................................,93,63,30,40,22,18,0,0,0
  Computer graphics ...........................................................................,1479,978,501,196,125,71,1,1,0
"  Modeling, virtual environments and simulation ......................................................",126,114,12,23,17,6,0,0,0
"  Computer software and media applications, other .............................................",321,293,28,59,40,19,0,0,0
  Computer systems networking and telecommunications ..........................................,1623,1460,163,717,560,157,3,3,0
  Network and system administration/administrator ......................................................,814,735,79,7,3,4,0,0,0
"  System, networking, and LAN/WAN management/manager ..........................................",276,228,48,9,8,1,0,0,0
  Computer and information systems security ...................................................,3683,3095,588,809,635,174,11,8,3
  Web/multimedia management and webmaster .....................................................,428,277,151,12,10,2,0,0,0
  Information technology project management ......................................................,203,163,40,227,159,68,1,0,1
  Computer support specialist ......................................................,1,0,1,0,0,0,0,0,0
"  Computer/information tech. services admin. and management, other .........................................",635,478,157,179,130,49,0,0,0
"  Computer and information sciences and support services, other ...............................",574,462,112,373,269,104,28,20,8
, ,,, ,,, ,,
Education ...................................................................................,105785,21757,84028,178062,41180,136882,9990,3215,6775
"  Education, general ..........................................................................",3271,571,2700,26022,6008,20014,1830,507,1323
  Bilingual and multilingual ...............................................................................,410,22,388,615,146,469,7,2,5
  Multicultural education .....................................................................,0,0,0,100,16,84,7,1,6
  Indian/Native American education ............................................................,0,0,0,0,0,0,0,0,0
